#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.165412	-16.181652	280.099213	31.714640	51.937908	0.666438
0.166768	-16.132627	282.105957	31.284565	50.860809	0.701297
0.169431	-15.874214	286.077484	32.022228	49.755463	0.674897
0.146247	-16.001013	287.520142	28.606325	40.186859	0.704253
0.143063	-15.858696	259.821808	28.975557	43.852661	0.733389
0.143373	-16.037834	235.829514	30.329191	45.311443	0.681238
0.163010	-16.033419	229.447876	32.095318	48.773258	0.676220
0.156815	-15.912758	217.795212	31.110477	42.188602	0.738788
0.168328	-15.908358	295.573120	32.073196	55.848114	0.727726
0.156958	-15.948674	266.073578	29.237118	44.135036	0.662909
0.162296	-15.857054	269.974976	29.970385	44.839882	0.656516
0.162865	-16.066528	298.615295	29.843632	41.273994	0.721258
0.159577	-15.978373	202.595016	33.986835	58.078541	0.596922
0.165914	-16.031698	264.721680	32.959595	63.440742	0.593541
0.154644	-16.174801	270.012512	32.277496	59.496231	0.716986
0.167425	-15.919968	296.120087	32.866817	63.691536	0.658505
0.153009	-15.817445	276.387238	32.941116	61.296127	0.690220
0.159313	-15.860777	280.722015	31.743338	55.693981	0.642194
0.161178	-16.124226	292.169830	29.843498	40.274292	0.675442
0.167389	-16.077085	235.303757	32.104225	45.315113	0.703714
0.159616	-15.810032	295.122070	32.752438	55.934441	0.632765
0.165178	-15.912816	275.000916	30.093157	40.675949	0.739773
0.155856	-16.075291	296.098907	31.008451	43.887192	0.711999
0.151497	-15.961101	258.347198	32.876820	59.566875	0.686302
0.156859	-16.175173	215.278458	30.643202	53.724819	0.621409
0.140767	-15.877922	272.463928	30.711473	43.179333	0.732248
0.163814	-16.189875	227.058884	33.650639	48.656803	0.725196
0.157147	-16.067497	243.735275	33.382282	64.922653	0.737242
0.161135	-16.056911	295.477356	32.254978	59.016171	0.736647
0.142581	-15.951633	240.041214	31.568243	48.949059	0.749282
0.146838	-15.868487	299.379761	31.103151	48.794914	0.734621
0.157684	-15.846654	293.399109	32.866226	62.276161	0.686756
0.165943	-16.193720	292.257111	33.179218	46.488724	0.727954
0.158443	-15.837045	275.719330	33.065361	51.123596	0.689194
0.144405	-15.911803	261.162506	30.646244	49.691006	0.686824
0.159862	-16.105188	272.748749	31.327576	42.027199	0.725169
0.154439	-15.947997	231.798920	32.008823	44.804668	0.704881
0.151948	-16.041439	293.843262	31.076759	48.656635	0.677880
0.157637	-15.839462	288.162598	32.571384	67.574112	0.644307
0.159309	-16.004303	279.474884	29.641048	45.357914	0.653055
